event_id,event_date,event_time,event_title,event_description,event_type,event_source,event_source_link,country_name,country_code,location_description,location_accuracy,latitude,longitude,landslide_size,landslide_trigger,landslide_setting,fatality_count,injury_count
NER029,2011-06-18,10:00,Gangtok Tadong Slope Failure,Slope failure near Tadong after 3-day continuous rainfall,landslide,news,,India,IN,"Tadong, Gangtok, Sikkim",accurate,27.3389,88.6065,medium,rain,hill_slope,0,5
NER030,2011-07-22,13:00,Shillong Plateau Landslide,Landslide on Shillong-Guwahati road disrupted traffic,landslide,news,,India,IN,"Shillong, East Khasi Hills, Meghalaya",accurate,25.5788,91.8933,small,rain,plateau_edge,0,0
NER031,2018-06-15,05:00,Imphal Hill Landslide,Dawn landslide in Imphal hill area displaced 10 families,landslide,news,,India,IN,"Imphal, Manipur",accurate,24.8100,93.9400,medium,rain,hill_slope,0,1
NER032,2020-07-05,22:00,Gangtok Sahid Path Landslide,Night landslide on Sahid Path damaged vehicles,landslide,news,,India,IN,"Gangtok, Sikkim",accurate,27.3350,88.6080,small,rain,road_cut,0,0
NER033,2023-06-30,12:30,Kohima Highway Landslide,"NH-2 blocked by landslide near Kohima, 200 vehicles stranded",landslide,news,,India,IN,"Kohima, Nagaland",accurate,25.6586,94.1086,large,rain,road_cut,0,0
NER034,2015-07-20,09:00,Dimapur Town Landslide,Landslide in Dimapur town area affected residential locality,landslide,news,,India,IN,"Dimapur, Nagaland",accurate,25.9000,93.7266,small,rain,urban,0,0
NER035,2018-07-05,14:30,Itanagar Hill Collapse,Hill collapse in Itanagar affected multiple colonies,landslide,news,,India,IN,"Itanagar, Arunachal Pradesh",accurate,27.0844,93.6920,medium,rain,hill_slope,0,3
NER036,2022-06-10,07:30,Lunglei Morning Landslide,Morning landslide near Lunglei blocked key road,landslide,news,,India,IN,"Lunglei, Mizoram",accurate,22.9000,92.7500,small,rain,road_cut,0,0
NER037,2014-08-10,16:00,Pasighat Afternoon Slide,Afternoon landslide near Pasighat affected farmland,landslide,news,,India,IN,"Pasighat, Arunachal Pradesh",accurate,28.0700,95.3300,small,rain,agricultural,0,0
NER038,2017-06-28,11:30,Guwahati Foothill Slide,Foothill landslide near Chandrapur affected road connectivity,landslide,news,,India,IN,"Chandrapur, Assam",accurate,26.1445,91.7362,small,rain,foothill,0,0
NER039,2024-07-10,08:00,Namchi Monsoon Slide,Monsoon-triggered landslide near Namchi disrupted transport,landslide,news,,India,IN,"Namchi, Sikkim",accurate,27.1684,88.5510,small,rain,hill_slope,0,0
NER040,2023-07-05,13:00,Ziro Valley Monsoon Event,Monsoon rainfall triggered small landslide in Ziro valley,landslide,news,,India,IN,"Ziro, Arunachal Pradesh",accurate,27.5887,93.8492,small,rain,valley,0,0
NER041,2011-08-05,10:00,Tura Monsoon Landslide,Tura hills experienced landslide during peak monsoon,landslide,news,,India,IN,"Tura, Meghalaya",accurate,25.5140,90.2200,small,rain,hill_slope,0,0
NER042,2022-07-15,09:00,Churachandpur Hill Event,Hill slope failure in Churachandpur affected 3 households,landslide,news,,India,IN,"Churachandpur, Manipur",accurate,24.3322,93.6825,small,rain,hill_slope,0,0
NER043,2013-06-20,15:00,Agartala Hill Slide,Hill slope failure near Agartala during pre-monsoon showers,landslide,news,,India,IN,"Agartala, Tripura",accurate,23.8315,91.2868,small,rain,hill_slope,0,0
NER044,2011-07-05,12:00,Gangtok Aviv Hill Slide,Aviv hill area landslide damaged local road in Gangtok,landslide,news,,India,IN,"Gangtok, Sikkim",accurate,27.3400,88.6100,small,rain,hill_slope,0,1
